Zone,Ward,Area,Locality,Street,Usage,Guidance Value
N01,N004,Perambur,Perambur,THULASINGAM 2ST STREET,Non-Residential,3
N01,N004,Perambur,Perambur,THULASINGAM 2ST STREET,Residential,0.8
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 5th Street,Non-Residential,3
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 5th Street,Residential,0.5
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 6th Street,Non-Residential,3
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 6th Street,Residential,0.5
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 7th Street,Non-Residential,3
N04,N034,Kodungaiyur,Amutham Nagar,Amutham Nagar 7th Street,Residential,0.5
N04,N034,Kodungaiyur,Annai Velankanni Nagar,Annai Velankani Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Annai Velankanni Nagar,Annai Velankani Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Annai Velankanni Nagar,Annai Velankani Nagar 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Annai Velankanni Nagar,Annai Velankani Nagar 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Badri Nagar,Badri Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Badri Nagar,Badri Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Binny Nagar,Binny Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Binny Nagar,Binny Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Binny Nagar,Binny Nagar Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Binny Nagar,Binny Nagar Main Road,Residential,0.5
N04,N034,Kodungaiyur,Binny Nagar,Boopathy Naicken Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Binny Nagar,Boopathy Naicken Main Road,Residential,0.5
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar  2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar  2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 5th Street,Non-Residential,3
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 5th Street,Residential,0.5
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 6th Street,Non-Residential,3
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar 6th Street,Residential,0.5
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Cauvery Nagar,Cauvery Nagar Main Road,Residential,0.5
N04,N034,Kodungaiyur,Chinna Kodungaiyur,Chinna Kodungaiyur Road,Non-Residential,3
N04,N034,Kodungaiyur,Chinna Kodungaiyur,Chinna Kodungaiyur Road,Residential,0.5
N04,N034,Kodungaiyur,Chinna Kodungaiyur,Manali Salai,Non-Residential,3
N04,N034,Kodungaiyur,Chinna Kodungaiyur,Manali Salai,Residential,0.5
